               	15.0000000027		24.9999999955		40.0000000018	
               	95.0000000027		25.0000000099		39.9999999874	

               	14.9999999847		124.9999999955		40.0000000198	
               	94.9999999847		125.0000000099		40.0000000054	

               	14.9999999955		124.9999999847		100.0000000198	
               	94.9999999955		124.9999999991		100.0000000054	

               	15.0000000135		24.9999999847		100.0000000018	
               	95.0000000135		24.9999999991		99.9999999874	

               	15.0000000027		24.9999999955		40.0000000018	
               	95.0000000027		25.0000000099		39.9999999874	

